periodo,estu_tipodocumento,estu_consecutivo,cole_area_ubicacion,cole_bilingue,cole_calendario,cole_caracter,cole_cod_dane_establecimiento,cole_cod_dane_sede,cole_cod_depto_ubicacion,cole_cod_mcpio_ubicacion,cole_codigo_icfes,cole_depto_ubicacion,cole_genero,cole_jornada,cole_mcpio_ubicacion,cole_naturaleza,cole_nombre_establecimiento,cole_nombre_sede,cole_sede_principal,estu_cod_depto_presentacion,estu_cod_mcpio_presentacion,estu_cod_reside_depto,estu_cod_reside_mcpio,estu_depto_presentacion,estu_depto_reside,estu_estadoinvestigacion,estu_estudiante,estu_fechanacimiento,estu_genero,estu_mcpio_presentacion,estu_mcpio_reside,estu_nacionalidad,estu_pais_reside,estu_privado_libertad,fami_cuartoshogar,fami_educacionmadre,fami_educacionpadre,fami_estratovivienda,fami_personashogar,fami_tieneautomovil,fami_tienecomputador,fami_tieneinternet,fami_tienelavadora,desemp_ingles,punt_ingles,punt_matematicas,punt_sociales_ciudadanas,punt_c_naturales,punt_lectura_critica,punt_global,semestre_prueba
20181,CC,SB11201810003214,URBANO,No,B,ACADEMICO,376001002376,376001002376,76,76001,17004,VALLE,MIXTO,COMPLETA,CALI,NO OFICIAL,COLEGIO HISPANOAMERICANO,COLEGIO HISPANOAMERICANO,Si,76.0,76001.0,76.0,76001.0,VALLE,VALLE,PUBLICAR,ESTUDIANTE,1999-07-03,F,CALI,CALI,COLOMBIA,COLOMBIA,No,TRES,POSTGRADO,POSTGRADO,ESTRATO 5,3 A 4,Si,Si,Si,Si,B1,78.0,68.0,76,69,67,353,1
20181,CC,SB11201810003214,URBANO,No,B,ACADEMICO,376001002376,376001002376,76,76001,17004,VALLE,MIXTO,COMPLETA,CALI,NO OFICIAL,COLEGIO HISPANOAMERICANO,COLEGIO HISPANOAMERICANO,Si,76.0,76001.0,76.0,76001.0,VALLE,VALLE,PUBLICAR,ESTUDIANTE,1999-07-03,F,CALI,CALI,COLOMBIA,COLOMBIA,No,TRES,POSTGRADO,POSTGRADO,ESTRATO 5,3 A 4,Si,Si,Si,Si,B1,78.0,68.0,76,69,67,353,1
20181,TI,SB11201810043861,RURAL,Desconocido,B,ACADEMICO,476520003791,476520003791,76,76520,645325,VALLE,MIXTO,TARDE,PALMIRA,NO OFICIAL,COLEGIO SANTA TERESITA DE ROZO,COLEGIO SANTA TERESITA DE ROZO,Si,76.0,76520.0,76.0,76520.0,VALLE,VALLE,PUBLICAR,ESTUDIANTE,2001-12-16,M,PALMIRA,PALMIRA,COLOMBIA,COLOMBIA,No,TRES,EDUCACION PROFESIONAL COMPLETA,EDUCACION PROFESIONAL COMPLETA,ESTRATO 2,5 A 6,Si,Si,Si,Si,A-,41.0,49.0,41,49,44,227,1
20181,TI,SB11201810043861,RURAL,Desconocido,B,ACADEMICO,476520003791,476520003791,76,76520,645325,VALLE,MIXTO,TARDE,PALMIRA,NO OFICIAL,COLEGIO SANTA TERESITA DE ROZO,COLEGIO SANTA TERESITA DE ROZO,Si,76.0,76520.0,76.0,76520.0,VALLE,VALLE,PUBLICAR,ESTUDIANTE,2001-12-16,M,PALMIRA,PALMIRA,COLOMBIA,COLOMBIA,No,TRES,EDUCACION PROFESIONAL COMPLETA,EDUCACION PROFESIONAL COMPLETA,ESTRATO 2,5 A 6,Si,Si,Si,Si,A-,41.0,49.0,41,49,44,227,1
20181,CC,SB11201810004937,RURAL,No,OTRO,ACADEMICO,425175032542,425175032542,25,25175,79368,CUNDINAMARCA,MIXTO,COMPLETA,CHIA,NO OFICIAL,COL FONTAN,COL FONTAN,Si,11.0,11001.0,11.0,11001.0,BOGOTA,BOGOTA,PUBLICAR,ESTUDIANTE,1998-12-15,M,BOGOTA D.C.,BOGOTA D.C.,COLOMBIA,COLOMBIA,No,TRES,EDUCACION PROFESIONAL COMPLETA,POSTGRADO,ESTRATO 4,3 A 4,Si,Si,Si,Si,A2,59.0,57.0,48,57,55,273,1
20181,CC,SB11201810061879,URBANO,Desconocido,A,NAN,368276003086,368276003086,68,68276,193086,SANTANDER,MIXTO,NOCHE,FLORIDABLANCA,NO OFICIAL,FUNDACION EDUCATIVA DE COLOMBIA FUNDECOL,FUNDACION EDUCATIVA DE COLOMBIA FUNDECOL - SEDE PRINCIPAL,Si,68.0,68001.0,68.0,68276.0,SANTANDER,SANTANDER,PUBLICAR,ESTUDIANTE,2000-11-22,M,BUCARAMANGA,FLORIDABLANCA,COLOMBIA,COLOMBIA,No,DOS,SECUNDARIA (BACHILLERATO) COMPLETA,SECUNDARIA (BACHILLERATO) COMPLETA,ESTRATO 3,NAN,Si,Si,No,Si,A-,41.0,46.0,47,45,50,233,1
20181,TI,SB11201810015217,URBANO,No,B,ACADEMICO,376001026925,376001026925,76,76001,36681,VALLE,MIXTO,MANANA,CALI,NO OFICIAL,COMFANDI MIRAFLORES,COMFANDI MIRAFLORES,Si,76.0,76001.0,76.0,76001.0,VALLE,VALLE,PUBLICAR,ESTUDIANTE,2002-01-09,F,CALI,CALI,COLOMBIA,COLOMBIA,No,DOS,EDUCACION PROFESIONAL COMPLETA,TECNICA O TECNOLOGICA COMPLETA,ESTRATO 4,1 A 2,No,Si,Si,Si,B1,72.0,50.0,53,60,61,286,1
20181,TI,SB11201810015217,URBANO,No,B,ACADEMICO,376001026925,376001026925,76,76001,36681,VALLE,MIXTO,MANANA,CALI,NO OFICIAL,COMFANDI MIRAFLORES,COMFANDI MIRAFLORES,Si,76.0,76001.0,76.0,76001.0,VALLE,VALLE,PUBLICAR,ESTUDIANTE,2002-01-09,F,CALI,CALI,COLOMBIA,COLOMBIA,No,DOS,EDUCACION PROFESIONAL COMPLETA,TECNICA O TECNOLOGICA COMPLETA,ESTRATO 4,1 A 2,No,Si,Si,Si,B1,72.0,50.0,53,60,61,286,1
20181,TI,SB11201810010074,URBANO,No,B,ACADEMICO,376520000216,376520000216,76,76520,18721,VALLE,MASCULINO,COMPLETA,PALMIRA,NO OFICIAL,SEM DE CRISTO SACERDOTE,SEM DE CRISTO SACERDOTE,Si,76.0,76520.0,76.0,76520.0,VALLE,VALLE,PUBLICAR,ESTUDIANTE,2001-10-04,M,PALMIRA,PALMIRA,COLOMBIA,COLOMBIA,No,CUATRO,EDUCACION PROFESIONAL COMPLETA,EDUCACION PROFESIONAL COMPLETA,ESTRATO 4,3 A 4,Si,Si,Si,Si,A2,65.0,73.0,63,70,66,339,1
20181,TI,SB11201810010074,URBANO,No,B,ACADEMICO,376520000216,376520000216,76,76520,18721,VALLE,MASCULINO,COMPLETA,PALMIRA,NO OFICIAL,SEM DE CRISTO SACERDOTE,SEM DE CRISTO SACERDOTE,Si,76.0,76520.0,76.0,76520.0,VALLE,VALLE,PUBLICAR,ESTUDIANTE,2001-10-04,M,PALMIRA,PALMIRA,COLOMBIA,COLOMBIA,No,CUATRO,EDUCACION PROFESIONAL COMPLETA,EDUCACION PROFESIONAL COMPLETA,ESTRATO 4,3 A 4,Si,Si,Si,Si,A2,65.0,73.0,63,70,66,339,1
